title,price,rating,brand,ram,storage,color,processor
"Lenovo 14 (2026), Intel Core i5 13th Gen 13420H - (8 GB DDR5/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD Display/Luna Grey/Copilot Key/1.4 kg/MS Office 2024",58790.0,3.9,Lenovo,Unknown,512GB,Grey,Intel
"HP 15 Smartchoice, 13th Gen Intel Core i5-1334U (16GB DDR4, 1TB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365(1yr) Office24, Silver, 1.59kg, FD0552TU,Iris Xe, FHD Camera, Backlit Laptop",65990.0,3.9,HP,16GB,1024GB,Silver,Intel
"Lenovo IdeaPad Slim 3 Ryzen 3 30 15.6"" (39.6cm) FHD Thin and Light Laptop (8GB RAM/512GB SSD/AMD Radeon 610M Graphics/Windows 11/Office 2024/Grey/1.6Kg), 82XQ01VYIN",54990.0,4.4,Lenovo,8GB,512GB,Grey,Amd
"Lenovo V15 G6 AMD Ryzen 7 170 (Coequal 7735HS) 15.6"" (39.62cm) FHD Thin and Light Business Laptop (16GB RAM DDR5/ 512GB SSD/Windows 11/ MS Office 2024/ AMD Radeon Graphics/Luna Grey/ 1.6 kg)",69999.0,3.8,Lenovo,16GB,512GB,Grey,Amd
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i3-1315U 15.6 Inch (39.6cm) FHD Thin & Light Laptop (8GB RAM/512GB SSD/Windows 11/Office Home 2024/Grey/1.62Kg), 82X700HHIN",54058.0,4.6,Lenovo,8GB,512GB,Grey,Intel
"HP 255 G10 Laptop for Home or Work, 16GB RAM DDR5, 512GB SSD, 15.6"" Full HD, Ryzen 3 7335U (Beats Intel i5-1135G7), HDMI, USB-C",58990.0,4.3,HP,16GB,512GB,Unknown,Intel
"Lenovo V15 G4 Laptop with AMD Ryzen 5 7520U, 16GB DDR5 RAM, 512GB SSD, 15.6-inch FHD Display, AMD Radeon Graphics, Windows 11 Home, MS Office 2024, Dolby Audio, Arctic Grey, 1 Year Onsite Warranty",56800.0,5.0,Lenovo,16GB,512GB,Grey,Amd
"Lenovo IdeaPad Slim 3, 13th Gen Intel Core i5 13420H, 24GB RAM, 1TB SSD, WUXGA IPS, 15.3""/38.8cm, Windows 11, Office 2024, Grey, 1.6Kg, Backlit Keyboard, 1Yr ADP Free, 83K100PLIN/83K1010FIN, Laptop",87890.0,4.2,Lenovo,24GB,1024GB,Grey,Intel
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/1 Year ADP Free/Grey/1.6Kg), 82R4011MIN",55990.0,4.1,Lenovo,8GB,512GB,Grey,Amd
"HP 15, AMD Ryzen 5 7520U,(16GB LPDDR5, 512GB SSD), Anti-Glare, Micro-Edge, FHD, 15.6''/39.6cm, Win 11, Office 24,M365 Basic(1yr)*,Silver, 1.59kg, fc0690au, FHD Camera, Backlit KB Laptop",67400.0,3.9,HP,16GB,512GB,Silver,Amd
"Acer Aspire 3 (2026), Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Laptop/15.6"" FHD IPS Display/Silver/1.5 Kg/MS Office 2024/3 Years Warranty",60650.0,5.0,Acer,Unknown,512GB,Silver,Intel
"ASUS Vivobook S14, Intel Core Ultra 5 225H, Intel iGPU,16GB RAM,512GB SSD, FHD+,14"",60Hz,Windows 11,M365 Basic (1Year)*,Office Home 2024,Cool Silver,1.4 Kg, S3407CA-LY060WS, Metallic Design Laptop",82990.0,4.2,ASUS,16GB,512GB,Silver,Intel
"Lenovo 14 (2026), Intel Core i5 13th Gen 13420H - (16 GB DDR5/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD Display/Luna Grey/Copilot Key/1.4 kg/MS Office 2024",68700.0,5.0,Lenovo,Unknown,512GB,Grey,Intel
"HP 14 Smartchoice, Intel Core Ultra 5 125H 12 TOPS, 24GB DDR5 (Upgradeable) 1TB SSD, Anti-Glare, FHD, 14''/35.6cm,Win11, M365*Office24, Silver, 1.4kg, ep1180tu, FHD Camera w/Shutter, Backlit AI Laptop",85990.0,3.3,HP,24GB,1024GB,Silver,Intel
"Acer 15 Smartchoice, AMD Ryzen 3-7320U, 15.6"" Full HD Display, | 8GB DDR5 RAM 5500 Mhz, 256GB SSD New Gen, Windows 11Home, Ms office 21, Antivrus, 1.59KG, Professional Thin and Light Laptop",44990.0,5.0,Acer,8GB,256GB,Unknown,Amd
"Dell 15 AI Powered Laptop, Intel Core Ultra 5 225H, 8GB DDR5 RAM, 512GB SSD, 15.6"" FHD Anti-Glare Display, Intel Arc Graphics, Standard Keyboard, Dedicated Copilot Key, Black, Win11 Home + MSO H&S'24",73490.0,2.5,Dell,8GB,512GB,Black,Intel
"HP 14s Intel Celeron Dual Core N4500 Laptop (8GB/512GB SSD/Win 11) 14.0"" HD Display, MSO 24, Black, 1.46kg, DQ3149TU Thin and Light Business Laptop",42999.0,3.2,HP,8GB,512GB,Black,Intel
"HP 15, Intel Core 5-120U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr), Office Home24, Silver,1.59kg, fd0682tu, FHD Camera w/Shutter, BL Laptop",68699.0,3.0,HP,16GB,512GB,Silver,Intel
"Lenovo IdeaPad Slim 3 AMD Ryzen 5 40 15.6"" (39.6cm) FHD Thin and Light Laptop (16GB RAM/512GB SSD/Backlit Keyboard/Windows 11/Microsoft 365 Basic + Office 2024/Grey/1.6Kg), 82XQ01HQIN",68490.0,3.9,Lenovo,16GB,512GB,Grey,Amd
"𝗗𝗲𝗹𝗹Laptop Model 5420 | 𝗜𝗡𝗧𝗘𝗟i5 11th Gen Processor |8GB DDR4 RAM |256GB SSD |14"" FHD Display | Win10 | A+ Condition Laptop (Refab)",37400.0,3.9,Unknown,8GB,256GB,Unknown,Unknown
"Lenovo IdeaPad Slim 1, AMD Ryzen 5 5500U, 16GB RAM, 512GB SSD, HD, 15.6"", Windows 11 Home, MS Office 21, Cloud Grey, 1.61Kg, 82R400ERIN, Integrated AMD Graphics, 1Yr ADP Free, Thin and Light Laptop",61200.0,4.2,Lenovo,16GB,512GB,Grey,Amd
"HP Omnibook 5 OLED (Previously Pavilion), Snapdragon X Processor 45 Tops (16GB LPDDR5x, 1TB SSD) 2K,16''/40.6cm, Win11, Office24, Silver, 1.59kg, fb0001QU, Multi-Day Battery AI Laptop",84990.0,4.0,HP,16GB,1024GB,Silver,Snapdragon
"Primebook 2 Max (2026) | 8GB RAM, 256GB UFS Storage | 15.6-Inch Full HD IPS Display | 12hrs Battery | MediaTek Helio G99 | Android 15 (PrimeOS 3.0) | Backlit Keyboard | in-Built AI (Gray)",32990.0,4.3,Primebook,8GB,Unknown,Gray,Mediatek
"ASUS Chromebook CM1505 (2026), Smartchoice, MediaTek Kompanio 540 Processor, 4GB RAM, 64GB SSD, FHD, 15.6""(39.6 cm), 60Hz, Chrome OS, Fabric Blue, 1.49 Kg, CM1505CM4A-S70080, Thin & Light Laptop",24990.0,3.7,ASUS,4GB,64GB,Blue,Mediatek
"MaxBook 14” FHD Laptop, pentium N4200, 8GB RAM, 256GB SSD, WiFi & Bluetooth, USB 3.2, Mini HDMI, Windows 11 Notebook, Lightweight Laptop for Work & Study",25640.0,5.0,MaxBook,8GB,256GB,Unknown,Unknown
"HP 14, Intel Core Ultra 5 125H (16GB DDR5, 512GB SSD), Micro-Edge, Anti-Glare, FHD, 14''/35.6cm, Win11, M365* Office24, Silver, 1.4kg, ep1150TU, FHD Camera, Backlit Laptop",77990.0,3.7,HP,16GB,512GB,Silver,Intel
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (Free MS Office) Lifetime (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) 1 Year Brand Warranty,",67999.0,4.2,Lenovo,16GB,512GB,Grey,Amd
"ASUS Vivobook Go 14 (2026),AMD Ryzen 3 30 Processor,AMD Radeon iGPU,8GB RAM,512GB SSD,FHD,14"" (35.5 cm),Windows 11,M365 Basic(1Y)* Office 2024,Cool Silver,1.38 Kg,E1404FA-EB1224WS,Thin & Light Laptop",48990.0,3.5,ASUS,8GB,512GB,Silver,Amd
"Lenovo ThinkBook 16, Intel Core Ultra 9 185H, 16GB RAM, 512GB SSD, WUXGA IPS 16” (40.64cm), Win 11 Home, Arctic Grey, 1.7Kg, 21SKA0J5IG, Fingerprint, Backlit, 300 Nits, 1Y Warranty, AI Powered Laptop",98990.0,3.7,Lenovo,16GB,512GB,Grey,Intel
"ASUS Chromebook CM1505 (2026), Smartchoice, MediaTek Kompanio 540 Processor, 4GB RAM, 128GB SSD, FHD, 15.6""(39.6 cm), 60Hz, Chrome OS, Fabric Blue, 1.49 Kg, CM1505CM4A-S70081, Thin & Light Laptop",33990.0,5.0,ASUS,4GB,128GB,Blue,Mediatek
"HP Smartchoice Victus, 13th Gen Intel Core i7-13620H, 8GB RTX 5060, 24GB DDR5(Upgradeable) 1TB SSD, 144Hz, FHD, 15.6""/39.6cm, Win11, M365(1yr)*Office 24, Mica Silver,2.29Kg,fa2308TX, RGB Gaming Laptop",129990.0,4.1,HP,8GB,1024GB,Silver,Intel
"Lenovo V14 G4 AMD Ryzen 5 7520U 14"" (35.56 cm) FHD Laptop (16GB LPDDR5 RAM/512GB SSD/Windows 11 Home/Ms-Office /2GB AMD Radeon 610M Graphics/Dolby Audio/Arctic Grey/1.43 Kg), 1 Year Warranty",56690.0,3.6,Lenovo,16GB,512GB,Grey,Amd
"Lenovo 14 (2026), AMD Ryzen 5 Quad Core 7520U - (8 GB LPDDR5/512 GB SSD/AMD Radeon Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD Display/Arctic Grey/1.4 kg/MS Office 2024",53490.0,3.9,Lenovo,Unknown,512GB,Grey,Amd
"Lenovo LOQ Essential AMD Ryzen 7 7735HS | NVIDIA RTX 4050 6GB (16GB RAM/512GB SSD/144Hz Refresh Rate/15.6"" (39.6cm)/Windows 11/Office Home 2024/3 Mon. Game Pass/Grey/1.8Kg), 83S0009TIN Gaming Laptop",132990.0,4.0,Lenovo,6GB,512GB,Grey,Amd
"ASUS Vivobook 16, Snapdragon X, 16GB RAM, 512GB SSD, FHD+ 16"", Windows 11, Office Home 2024, Cool Silver, 1.88kg, X1607QA-MB050WS, Qualcomm Adreno iGPU, 45TOPS, M365 Basic(1Year)* Laptop",63990.0,4.1,ASUS,16GB,512GB,Silver,Snapdragon
"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg), 83A0A0PCIN",70990.0,3.6,Lenovo,16GB,512GB,Grey,Intel
"Acer Aspire Lite, 13th Gen Intel Core i3-1305U, 8GB RAM, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-53, Metal Body, Thin and Light Premium, Laptop",49990.0,4.0,Acer,8GB,512GB,Gray,Intel
"HP 15, Intel Core 5-120U (8GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr), Office Home24, Silver,1.59kg, fd0651TU, FHD Camera w/Privacy Shutter, Backlit Laptop",66750.0,4.7,HP,8GB,512GB,Silver,Intel
"Acer Smartchoice Aspire One, AMD Ryzen 3-7320U, Office 2024 + M365 Basic, 8GB LPDDR5 RAM/ 256GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop",45990.0,3.4,Acer,8GB,256GB,Silver,Amd
"Acer Professional 14[New Launch], AMD Ryzen 7-7730U, 32GB RAM, 1TB SSD, 14"" Full HD Laptop, Windows 11 Pro, MSO21, 1.34KG, Backlite KB, Finger Print, Metal Body, 3 Year Warranty, 12 Mounths Antivrus",84990.0,2.8,Acer,32GB,1024GB,Unknown,Amd
"Dell DC15250, 15.6"" (39.62 cm) FHD Laptop with Intel Core i5-1334U, 16GB RAM, 512GB SSD, 120Hz, 250 Nits Display, Wi-Fi 6, Windows 11 Home, MSO 11–Sleek, Fast & Reliable for Work, Study & Everyday Use",66690.0,5.0,Dell,16GB,512GB,Unknown,Intel
"Lenovo ThinkPad E16 G2 16-inch (40.64 CM) Laptop, AMD Ryzen 7 7735HS (8-Core), 16GB DDR5 RAM, 512GB NVMe SSD, FHD+ IPS Display, Radeon 680M, Wi-Fi 6, Fingerprint Reader, Windows 11 Pro, MS-Office 2024",91700.0,3.3,Lenovo,16GB,Unknown,Unknown,Amd
"Acer Aspire 3, AMD Ryzen 3-5400U, 8GB RAM/512GB SSD, 15.6""/39.62 cm, Full HD IPS Display, Windows 11 Home, AMD Radeon Graphics, Steel Gray, 1.79 KG, A325-42, Premium Thin and Light Laptop",42690.0,1.0,Acer,8GB,512GB,Gray,Amd
"Acer Aspire Lite Intel Core i3/Core 3 14th Gen-100U Processor, Office 2024 + M365 Basic, 8GB RAM/256GB SSD, 15.6""/39.62 cm, FHD IPS Display,Win11Home, Steel Grey, 1.59Kg, AL15-53, Thin & Light Laptop",48990.0,4.0,Acer,8GB,256GB,Grey,Intel
"ASUS Vivobook 16, Snapdragon X, 16GB RAM, 512GB SSD, FHD+ 16"", Windows 11, Office Home 2024, Quiet Blue, 1.88kg, X1607QA-MB049WS, Qualcomm Adreno iGPU, 45TOPS, M365 Basic (1Year)* Laptop",63990.0,4.1,ASUS,16GB,512GB,Blue,Snapdragon
"acer Aspire 3, Intel Pentium N6000, 12GB LPDDR4X RAM, 512GB SSD, HD, 15.6""/39.62cm, Windows 11 Home, Pure Silver, 1.5KG, A325-45, Thin and Light Laptop",39890.0,3.3,acer,12GB,512GB,Silver,Intel
"HP HyperX OMEN 16 (Valorant Edition) AMD Ryzen 7 8745HX, 8GB-RTX 5060, 16GB DDR5 (Upgradeable) 1TB SSD, 165Hz, 2K, 400 nits, 3ms RT, 16''/40.6cm, Win11, Office24, Blue, 2.47kg, ap1010AX Gaming Laptop",229990.0,5.0,HP,8GB,1024GB,Blue,Amd
"ASUS Chromebook CM32 Detachable (2026),Smartchoice,MediaTek Kompanio 540 Processor,8GB RAM,128GB SSD,Touchscreen,12.1""(30.7 cm),Chrome OS,Cloud Titanium,0.64 Kg,CM3206DM4A-TR0119,Thin & Light Laptop",42990.0,4.5,ASUS,8GB,128GB,Unknown,Mediatek
"HP 15 (2025), AMD Athlon 7120U Dual Core - (8 GB/256 GB SSD/AMD Radeon Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" HD Display/Black/1.5 kg/MS Office 2021",42999.0,3.8,HP,Unknown,256GB,Black,Amd
"HP Pavilion Plus, Intel Core i5-1335U-13th Gen Laptop, (16GB LPDDR5x,512GB SSD),IPS, 300 nits, 14''(35.6cm) 2K,Win 11, M365 Basic(1yr), Office Home 24, Silver,1.38kg, 5MP Camera w/Shutter, ew0107TU",63990.0,3.6,HP,16GB,512GB,Silver,Intel
"ASUS ROG Strix G16,Intel Core Ultra 9 275HX,Gaming Laptop(RTX 5070-8GB/115W TGP/32GB/1TB /2.5K QHD+/16""/240Hz/90WHrs/Windows 11/M365 Basic(1Year)*/Office Home 2024/Eclipse Gray/2.65 Kg)G615LP-S5022WS",249990.0,3.7,ASUS,8GB,Unknown,Gray,Intel
"HP OmniBook 5 OLED (Previously Pavilion), Snapdragon X Processor 45 Tops (16GB LPDDR5x, 1 TB SSD), 2K 14''/35.6cm, Win11, Office24, Silver, 1.29kg, he0015QU, Multi-Day Battery, AI Laptop",85990.0,4.0,HP,16GB,1024GB,Silver,Snapdragon
"ASUS ROG Strix G16, AMD Ryzen 9 8940HX, Gaming Laptop(RTX 5060-8GB/115W TGP/16GB/1TB /2.5K QHD+/16""/240Hz/90WHrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Eclipse Gray/2.5 Kg) G614PM-S5046WS",184990.0,4.4,ASUS,8GB,Unknown,Gray,Amd
"Lenovo V15 G4 AMD Ryzen 5 7520U DOS 15.6 inch FHD Thin & Lite Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD,Dolby Audio,Premium Grey, 1 Year Onsite Brand Warranty",54899.0,3.9,Lenovo,16GB,512GB,Grey,Amd
"Lenovo V15 Intel Core i5 13th Gen 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Iron Grey/1Y Onsite +1Y ADP/1.65 kg), 83CC000EIN",59990.0,3.9,Lenovo,8GB,512GB,Grey,Intel
"ASUS Vivobook 15,13th Gen,Intel Core i5-13420H(Intel UHD iGPU/16GB RAM/1TB SSD/FHD/15.6""/60Hz/Backlit Keyboard/Windows 11/M365 Basic (1Year)*/Office Home 2024/Quiet Blue/1.70 kg) X1502VA-BQ1297WS",71990.0,4.5,ASUS,16GB,1024GB,Blue,Intel
"Lenovo 15 (2026), Intel Core i7 13th Gen 13620H - (16 GB DDR5/512 GB SSD/Intel Iris Xe Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" FHD Display/Luna Grey/Copilot Key/1.5 kg/MSO 2024",79470.0,3.9,Lenovo,Unknown,512GB,Grey,Intel
"HP Victus, 13th Gen Intel Core i5-13420H, 6GB RTX 3050, 16GB DDR4(Upgradeable) 512GB SSD, FHD, 144Hz, 300 nits, IPS, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.3kg, fa2700TX, Gaming Laptop",99990.0,4.0,HP,6GB,512GB,Silver,Intel
"Dell 15 Laptop DC15250-15.6-inch FHD 120Hz Display, 13th Gen Intel Core i7-1355U, 16GB DDR4 RAM, 512GB SSD, Intel UHD Graphics, Windows 11 Home, Onsite Service - Platinum Silver",85890.0,4.5,Dell,16GB,512GB,Silver,Intel
"Acer SmartChoice Aspire Lite, AMD Ryzen 5-5625U Processor, 16 GB/512 GB, Full HD, 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 kg, AL15-41, Metal Body, Thin and Light Laptop",59990.0,4.1,Acer,Unknown,Unknown,Gray,Amd
"ASUS Gaming V16 (2025),Intel Core 7 240H (i7-14th Gen),RTX 5050-8GB,16GB RAM,512GB SSD,FHD+,16"",144Hz,Backlit Keyboard,Windows 11,M365*,Office 2024,Matte Black,1.95 Kg V3607VH-RP038WS,Gaming Laptop",140999.0,3.5,ASUS,8GB,512GB,Black,Intel
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i5-13420H 15.3 inch (38.8cm) WUXGA IPS Laptop (16GB RAM/512GB SSD/Windows 11/Office 2024/Top Metal Cover/Backlit KB/Cosmic Blue/1.6Kg), 83K1016PIN",84990.0,3.8,Lenovo,16GB,512GB,Blue,Intel
"Lenovo Yoga Slim 7 Aura Edition Intel Evo Core Ultra 5 226V (16GB RAM/1TB SSD/14 (35.5cm)/WUXGA OLED/Copilot+ PC/Windows 11/Office Home 2024/1Yr ADP Free/Grey/1.19Kg), 83JX005FIN AI Laptop",126866.0,4.5,Lenovo,16GB,1024GB,Grey,Intel
